Income/Spendings
-386.0
-32.0
-41.0
-39.0
-33.0
-55.0
-371.0
-296.0
-44.0
-752.0
-94.0
-1323.0
-550.0
-1633.0
-195.0
-1000.0
-104.0
-450.0
-34.0
-126.0
-121.0
-57.0
-730.0
-166.0
-40.0
-60.0
-400.0
-620.0
-200.0
-265.8
-254.0
-300.0
-300.0
-400.0
-400.0
-56.0
-262.0
-222.0
-76.8
-134.76
-75.1
